name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[58]	-0.41	0.0056	0.41	-1.1	-0.42	0.25	5349.0	6.0	1.0
theta[59]	0.16	0.0064	0.5	-0.65	0.17	0.97	6081.0	6.8	1.0
theta[60]	-0.87	0.0066	0.42	-1.6	-0.87	-0.21	4090.0	4.6	1.0
theta[61]	1.6	0.0063	0.48	0.85	1.6	2.4	5911.0	6.6	1.0
theta[62]	-0.0058	0.006	0.47	-0.77	-0.0074	0.75	6052.0	6.8	1.0
theta[63]	0.73	0.0056	0.42	0.06	0.72	1.4	5453.0	6.1	1.0
theta[64]	-0.067	0.006	0.4	-0.73	-0.062	0.59	4558.0	5.1	1.0
theta[65]	-1.6	0.0078	0.49	-2.5	-1.6	-0.89	3908.0	4.4	1.0
theta[66]	-0.46	0.0056	0.42	-1.2	-0.46	0.21	5658.0	6.3	1.0
theta[67]	0.68	0.0055	0.45	-0.015	0.67	1.4	6739.0	7.6	1.0
theta[68]	1.3	0.0065	0.5	0.55	1.3	2.2	5794.0	6.5	1.0
theta[69]	-0.43	0.0054	0.44	-1.2	-0.43	0.3	6770.0	7.6	1.0
theta[70]	-1.4	0.0075	0.48	-2.3	-1.4	-0.71	4072.0	4.6	1.0
theta[71]	1.7	0.0066	0.52	0.89	1.7	2.6	6274.0	7.0	1.0
theta[72]	0.21	0.0055	0.43	-0.47	0.21	0.93	5996.0	6.7	1.0
theta[73]	0.92	0.0064	0.51	0.093	0.91	1.8	6493.0	7.3	1.0
theta[74]	-0.35	0.0062	0.47	-1.1	-0.34	0.43	5794.0	6.5	1.0
theta[75]	0.086	0.0053	0.4	-0.57	0.085	0.75	5788.0	6.5	1.0
theta[76]	-1.8	0.0073	0.49	-2.6	-1.8	-1.0	4515.0	5.1	1.0
theta[77]	-1.9	0.0082	0.5	-2.7	-1.8	-1.1	3712.0	4.2	1.0
theta[78]	0.43	0.0067	0.49	-0.38	0.42	1.3	5512.0	6.2	1.0
theta[79]	0.63	0.0057	0.45	-0.08	0.62	1.4	6229.0	7.0	1.0
theta[80]	0.47	0.0056	0.41	-0.2	0.47	1.1	5294.0	5.9	1.0
theta[81]	-0.21	0.0057	0.44	-0.94	-0.2	0.52	5889.0	6.6	1.0
theta[82]	-0.57	0.0054	0.41	-1.2	-0.56	0.11	5598.0	6.3	1.0
theta[83]	0.59	0.0055	0.44	-0.11	0.58	1.3	6536.0	7.3	1.0
theta[84]	-0.76	0.0056	0.41	-1.4	-0.76	-0.1	5260.0	5.9	1.0
theta[85]	-2.0	0.008	0.52	-2.9	-2.0	-1.2	4341.0	4.9	1.0
theta[86]	-1.4	0.0071	0.44	-2.1	-1.4	-0.69	3887.0	4.4	1.0
theta[87]	0.4	0.0064	0.45	-0.34	0.4	1.1	5044.0	5.7	1.0
theta[88]	0.2	0.0049	0.41	-0.47	0.2	0.89	7243.0	8.1	1.0
theta[89]	-0.33	0.0055	0.4	-1.0	-0.33	0.32	5090.0	5.7	1.0
theta[90]	1.3	0.0061	0.49	0.54	1.3	2.2	6495.0	7.3	1.0
theta[91]	1.3	0.0069	0.49	0.49	1.3	2.1	5140.0	5.8	1.0
theta[92]	0.2	0.0059	0.46	-0.54	0.19	0.95	6137.0	6.9	1.0
theta[93]	-0.57	0.0058	0.42	-1.3	-0.58	0.11	5240.0	5.9	1.0
theta[94]	0.74	0.0059	0.42	0.075	0.73	1.5	5089.0	5.7	1.0
theta[95]	-1.2	0.0066	0.44	-2.0	-1.2	-0.51	4424.0	5.0	1.0
theta[96]	0.016	0.0066	0.43	-0.69	0.022	0.72	4258.0	4.8	1.0
theta[97]	0.65	0.0058	0.41	-0.011	0.64	1.3	5085.0	5.7	1.0
theta[98]	0.35	0.0052	0.41	-0.32	0.35	1.0	6230.0	7.0	1.0
theta[99]	0.74	0.0063	0.49	-0.073	0.73	1.6	6100.0	6.8	1.0
theta[100]	-0.36	0.0068	0.49	-1.2	-0.35	0.43	5187.0	5.8	1.0
xi_mu[1]	-0.19	0.013	0.28	-0.64	-0.18	0.26	434.0	0.49	1.0
xi_mu[2]	-0.022	0.0041	0.12	-0.22	-0.024	0.18	862.0	0.97	1.0
xi_mu[3]	-2.0	0.02	0.65	-3.2	-1.9	-1.0	1124.0	1.3	1.0
xi_pr[1,1]	0.077	0.041	1.2	-1.8	0.094	2.0	818.0	0.92	1.0
xi_pr[1,2]	-0.33	0.04	1.2	-2.3	-0.32	1.5	827.0	0.93	1.0
xi_pr[1,3]	-0.47	0.039	1.1	-2.4	-0.51	1.4	862.0	0.97	1.0
xi_pr[1,4]	-0.16	0.052	1.3	-2.4	-0.15	2.1	675.0	0.76	1.0
xi_pr[1,5]	-0.15	0.042	1.2	-2.1	-0.15	1.8	807.0	0.9	1.0
xi_pr[1,6]	0.044	0.018	0.74	-1.1	-0.00057	1.3	1742.0	2.0	1.0
xi_pr[1,7]	-0.4	0.041	1.2	-2.3	-0.41	1.6	824.0	0.92	1.0
xi_pr[1,8]	-1.3	0.017	0.65	-2.2	-1.3	-0.088	1447.0	1.6	1.0
xi_pr[1,9]	-0.0025	0.037	1.1	-1.9	-0.0093	1.7	855.0	0.96	1.0
xi_pr[1,10]	0.11	0.013	0.42	-0.56	0.099	0.81	1059.0	1.2	1.0
xi_pr[1,11]	0.55	0.014	0.57	-0.33	0.5	1.5	1731.0	1.9	1.0
xi_pr[1,12]	1.0	0.016	0.46	0.31	1.0	1.8	797.0	0.89	1.0
xi_pr[1,13]	0.67	0.015	0.43	0.0024	0.66	1.4	816.0	0.91	1.0
xi_pr[1,14]	1.1	0.015	0.49	0.27	1.0	1.9	1066.0	1.2	1.0
xi_pr[1,15]	0.31	0.013	0.42	-0.36	0.3	1.0	1123.0	1.3	1.0
xi_pr[1,16]	0.25	0.033	1.1	-1.6	0.29	1.9	1003.0	1.1	1.0
xi_pr[1,17]	0.29	0.013	0.51	-0.46	0.25	1.2	1580.0	1.8	1.0
xi_pr[1,18]	1.3	0.015	0.52	0.44	1.2	2.2	1256.0	1.4	1.0
xi_pr[1,19]	-0.18	0.013	0.57	-1.0	-0.24	0.8	1782.0	2.0	1.0
xi_pr[1,20]	-0.52	0.014	0.46	-1.3	-0.53	0.22	1125.0	1.3	1.0
xi_pr[1,21]	0.94	0.012	0.55	0.13	0.9	1.9	2033.0	2.3	1.0
xi_pr[1,22]	-1.1	0.016	0.64	-2.0	-1.1	0.047	1656.0	1.9	1.0
xi_pr[1,23]	-0.41	0.013	0.48	-1.1	-0.43	0.41	1437.0	1.6	1.0
xi_pr[1,24]	1.2	0.017	0.46	0.46	1.2	1.9	755.0	0.85	1.0
xi_pr[1,25]	-0.66	0.028	0.95	-2.0	-0.76	1.0	1125.0	1.3	1.0
xi_pr[1,26]	1.2	0.018	0.47	0.45	1.1	2.0	694.0	0.78	1.0
xi_pr[1,27]	-0.062	0.013	0.45	-0.76	-0.074	0.71	1201.0	1.3	1.0
xi_pr[1,28]	-0.78	0.015	0.48	-1.6	-0.8	0.0083	1083.0	1.2	1.0
xi_pr[1,29]	-0.32	0.014	0.42	-0.99	-0.32	0.36	940.0	1.1	1.0
xi_pr[1,30]	-1.1	0.017	0.7	-2.1	-1.2	0.17	1740.0	2.0	1.0
xi_pr[1,31]	-0.1	0.014	0.4	-0.74	-0.1	0.54	759.0	0.85	1.0
xi_pr[1,32]	-0.71	0.014	0.44	-1.4	-0.71	0.0018	933.0	1.0	1.0
xi_pr[1,33]	-0.42	0.014	0.48	-1.2	-0.44	0.4	1227.0	1.4	1.0
