name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
lp__	-2700.0	4.7	35.0	-2700.0	-2700.0	-2600.0	57.0	0.26	1.1
theta[1]	0.21	0.0065	0.45	-0.56	0.22	0.92	4787.0	22.0	1.0
theta[2]	-0.17	0.0055	0.4	-0.85	-0.16	0.46	5316.0	24.0	1.0
theta[3]	-0.13	0.0065	0.52	-1.0	-0.12	0.69	6309.0	29.0	1.0
theta[4]	-0.11	0.0069	0.55	-1.0	-0.093	0.77	6271.0	29.0	1.0
theta[5]	-2.7	0.007	0.48	-3.5	-2.7	-2.0	4678.0	21.0	1.0
theta[6]	-0.75	0.0063	0.46	-1.5	-0.73	-0.027	5428.0	25.0	1.0
theta[7]	-0.64	0.0057	0.4	-1.3	-0.63	-0.011	4906.0	22.0	1.0
theta[8]	-0.18	0.0055	0.38	-0.81	-0.17	0.44	4870.0	22.0	1.0
theta[9]	-0.24	0.007	0.49	-1.1	-0.23	0.54	4855.0	22.0	1.0
theta[10]	0.4	0.0054	0.39	-0.25	0.41	1.0	5116.0	23.0	1.0
theta[11]	0.29	0.0056	0.39	-0.36	0.29	0.93	4821.0	22.0	1.0
theta[12]	1.1	0.008	0.62	0.086	1.1	2.1	6043.0	28.0	1.0
theta[13]	-1.2	0.008	0.6	-2.2	-1.2	-0.26	5636.0	26.0	1.0
theta[14]	-1.7	0.006	0.46	-2.5	-1.6	-0.94	5970.0	27.0	1.0
theta[15]	-0.045	0.0065	0.46	-0.83	-0.034	0.71	5124.0	23.0	1.0
theta[16]	-0.38	0.0055	0.42	-1.1	-0.37	0.29	5875.0	27.0	1.0
theta[17]	-0.35	0.0055	0.42	-1.0	-0.33	0.32	5922.0	27.0	1.0
theta[18]	-0.12	0.0053	0.46	-0.9	-0.12	0.61	7461.0	34.0	1.0
theta[19]	-1.1	0.0061	0.43	-1.9	-1.1	-0.47	5059.0	23.0	1.0
theta[20]	-1.4	0.0055	0.39	-2.0	-1.4	-0.78	4911.0	23.0	1.0
theta[21]	-0.32	0.0075	0.57	-1.3	-0.29	0.57	5773.0	26.0	1.0
theta[22]	-1.5	0.0064	0.46	-2.2	-1.4	-0.71	5262.0	24.0	1.0
theta[23]	-0.43	0.0061	0.44	-1.2	-0.41	0.26	5077.0	23.0	1.0
theta[24]	0.16	0.0065	0.51	-0.72	0.17	0.99	6207.0	28.0	1.0
theta[25]	0.79	0.0065	0.5	-0.016	0.8	1.6	5979.0	27.0	1.0
theta[26]	-0.93	0.0071	0.53	-1.8	-0.91	-0.11	5531.0	25.0	1.0
theta[27]	1.6	0.0062	0.47	0.87	1.6	2.4	5761.0	26.0	1.0
theta[28]	-0.95	0.0056	0.45	-1.7	-0.94	-0.24	6599.0	30.0	1.0
theta[29]	1.9	0.0068	0.52	1.0	1.9	2.8	5897.0	27.0	1.0
theta[30]	0.37	0.0064	0.51	-0.5	0.38	1.2	6222.0	29.0	1.0
theta[31]	-0.76	0.0057	0.41	-1.5	-0.75	-0.11	5091.0	23.0	1.0
theta[32]	0.94	0.0056	0.42	0.25	0.95	1.6	5628.0	26.0	1.0
theta[33]	0.63	0.0066	0.53	-0.25	0.65	1.5	6324.0	29.0	1.0
theta[34]	-0.61	0.0067	0.51	-1.5	-0.59	0.21	5804.0	27.0	1.0
theta[35]	0.69	0.0062	0.51	-0.15	0.7	1.5	6905.0	32.0	1.0
theta[36]	0.62	0.007	0.47	-0.2	0.62	1.4	4566.0	21.0	1.0
theta[37]	0.9	0.0064	0.48	0.091	0.91	1.7	5749.0	26.0	1.0
theta[38]	-0.33	0.006	0.47	-1.1	-0.3	0.41	6085.0	28.0	1.0
theta[39]	-0.44	0.0062	0.5	-1.3	-0.42	0.35	6404.0	29.0	1.0
theta[40]	1.0	0.0074	0.48	0.23	1.0	1.8	4233.0	19.0	1.0
theta[41]	-0.57	0.0067	0.48	-1.4	-0.55	0.21	5136.0	24.0	1.0
theta[42]	1.2	0.0065	0.51	0.32	1.2	2.0	6194.0	28.0	1.0
theta[43]	1.5	0.007	0.57	0.54	1.5	2.4	6770.0	31.0	1.0
theta[44]	-1.2	0.0058	0.42	-1.9	-1.2	-0.6	5041.0	23.0	1.0
theta[45]	-0.056	0.0068	0.52	-0.96	-0.045	0.77	5867.0	27.0	1.0
theta[46]	-0.28	0.0066	0.5	-1.1	-0.26	0.5	5830.0	27.0	1.0
theta[47]	-0.57	0.006	0.41	-1.2	-0.55	0.08	4623.0	21.0	1.0
theta[48]	0.34	0.0066	0.48	-0.44	0.35	1.1	5244.0	24.0	1.0
theta[49]	2.0	0.0071	0.55	1.2	2.0	3.0	5915.0	27.0	1.0
